Кара-кум | Красный Октябрь | 15 | Chocolate
Чио-Рио | Красный Октябрь | 14 | Chocolate
Красная шапочка | Красный Октябрь | 16 | Chocolate
Мишка Косолапый | Красный Октябрь | 15 | Chocolate
Вдохновение | Красный Октябрь | 16 | Chocolate
Наслаждение | Красный Октябрь | 16 | Chocolate
Черноморочка | Красный Октябрь | 14 | Chocolate
Южная ночь | Красный Октябрь | 15 | Chocolate
Столичные-элит | Коммунарка | 17 | Chocolate
Беловежская пуща | Коммунарка | 17 | Chocolate
Аленка | Коммунарка | 16 | Chocolate
Вишенка | Спартак | 16 | Chocolate
Аэрофлотские | Спартак | 17 | Chocolate
Прометей | Спартак | 17 | Chocolate
Вишневый поцелуй | Спартак | 11 | Caramel
Вишневый хит | Спартак | 10 | Caramel
Хит со вкусом лимона | Спартак | 11 | Caramel
Снежок | Спартак | 10 | Caramel
Фрутомелька вкус лимона | Коммунарка | 10 | Caramel
Рачки | Рошен | 10 | Caramel
Барбарис | Рошен | 10 | Lollipop
Леденец вкус барбариса | Коммунарка | 8 | Lollipop
Леденец вкус дюшеса | Коммунарка | 8 | Lollipop
Леденец вкус мяты | Коммунарка | 8 | Lollipop
Улетный леденец | Коммунарка | 8 | Lollipop
Ирис кис-кис | Красный Октябрь | 15 | Iris
Золотой ключик | Красный Октябрь | 15 | Iris
