Аленка | Спартак | 90 | Milk
Шоколад молочный с фундуком | Спартак | 90 | Milk
Шоколад молочный с изюмом | Спартак | 90 | Milk
Шоколад молочный с арахисом | Спартак | 90 | Milk
Шоколад молочный с цельным миндалем | Спартак | 90 | Milk
Любимая Аленка с изюмом | Коммунарка | 100 | Milk
Любимая Аленка с орехом | Коммунарка | 100 | Milk
Сорванец со сливками | Коммунарка | 100 | Milk
Беловежская пуща | Коммунарка | 100 | Bitter
Столичный | Коммунарка | 100 | Bitter
Трюфельный элит | Коммунарка | 100 | Bitter
Горький с апельсином | Коммунарка | 100 | Bitter
Горький с миндалем | Коммунарка | 100 | Bitter
Шоколад белый с миндалем и кокосом | Спартак | 90 | White
Шоколад белый с фундуком и злаками | Спартак | 90 | White
Шоколад белый | Спартак | 90 | White
Горький | Спартак | 90 | Bitter
Горький элитный 72% | Спартак | 90 | Bitter
Горький элитный 90% | Спартак | 90 | Bitter
